#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
R,https://github.com/gokcehan/lf/releases/latest/download/lf-linux-amd64.tar.gz,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,ffmpeg,"can record and splice video and audio on the command line."
,neovim,"a tidier vim with some useful features"
,newsboat,"is a terminal RSS client."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,entr,"can run arbitrary commands when files change"
GC,gh,"is cli tool for GitHub"
,pass,"is a lightweight directory-based password manager"
,calcurse,"is a text-based calendar and todo manager"
